NO,Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car,KOTA,Latitude,Longitude
1576,25-04-2024,1.3223449564558063,-0.8452882534362767,0.07270503382543482,1.9356157073581555,-0.3041127221034397,-1.9208089943316793,-0.06040442592352064,-0.47113230070160983,-0.6662825137881142,,SIDOARJO,-7.45597405,112.66088771295344
1577,26-04-2024,0.787159169929441,0.5399925132686423,1.302918025564796,0.05218736451288143,0.259587140234735,-1.9208089943316793,0.975486400735068,-0.5764086522680278,1.4366597547504045,,SIDOARJO,-7.45597405,112.66088771295344
1578,27-04-2024,0.787159169929441,2.211883093774583,1.6489154294914905,-0.6204656150747164,-0.511355318551298,-0.3425757449103882,0.975486400735068,-0.5764086522680278,1.4366597547504045,,SIDOARJO,-7.45597405,112.66088771295344
1579,28-04-2024,1.610521918431541,1.2087487454710164,1.5335829615159253,-0.4859350191571969,,1.0641104121825016,0.4575409874057737,-0.5764086522680278,1.4366597547504045,,SIDOARJO,-7.45597405,112.66088771295344
1580,29-04-2024,1.404681231306016,1.1132121408706792,1.495138805524071,-0.4859350191571969,,1.0641104121825016,0.4575409874057737,-0.7869613554008641,0.3851886204811452,,SIDOARJO,-7.45597405,112.66088771295344
1581,30-04-2024,1.3635130938809104,1.877504977673394,1.4566946495322155,-0.8895268069097556,,0.3093032059375365,0.975486400735068,-0.5764086522680278,1.4366597547504045,,SIDOARJO,-7.45597405,112.66088771295344
1582,01-05-2024,1.2811768190307007,1.495358559272035,1.41825049354036,-0.3514044232396773,-0.6771493957095847,1.0984198306481825,0.975486400735068,-0.26057959756877364,1.4366597547504045,,SIDOARJO,-7.45597405,112.66088771295344
1583,02-05-2024,1.3635130938809104,1.3042853500713572,1.302918025564796,-0.3514044232396773,-0.6771493957095847,1.0641104121825016,0.4575409874057737,-0.47113230070160983,0.3851886204811452,,SIDOARJO,-7.45597405,112.66088771295344
1584,03-05-2024,1.0341679944800715,1.2087487454710164,1.379806337548506,-0.6204656150747164,-0.635700876420013,1.1670386675795426,-0.06040442592352064,-0.681685003834446,0.3851886204811452,,SIDOARJO,-7.45597405,112.66088771295344
1585,04-05-2024,0.4578140705286008,1.3042853500713572,1.03380893362181,-0.754996210992236,-0.6771493957095847,0.8239444829227403,0.4575409874057737,-0.681685003834446,0.3851886204811452,,SIDOARJO,-7.45597405,112.66088771295344
1586,05-05-2024,0.5401503453788105,0.6832974201691532,0.9184764656462461,-0.6204656150747164,,0.44654087980025764,-0.5783498392528149,-0.8922377069672821,0.3851886204811452,,SIDOARJO,-7.45597405,112.66088771295344
1587,06-05-2024,0.7048228950792313,0.9221389316700014,0.9953647776299558,-1.2931185946623143,,1.1670386675795426,0.975486400735068,-0.47113230070160983,0.3851886204811452,,SIDOARJO,-7.45597405,112.66088771295344
1588,07-05-2024,0.6224866202290217,1.0176755362703387,1.2644738695729405,-0.8895268069097556,,0.6180879721286588,-0.06040442592352064,-0.7869613554008641,0.3851886204811452,,SIDOARJO,-7.45597405,112.66088771295344
1589,08-05-2024,0.8694954447796507,1.3042853500713572,1.2644738695729405,-0.754996210992236,,,-0.06040442592352064,-0.7869613554008641,0.3851886204811452,,SIDOARJO,-7.45597405,112.66088771295344
1590,09-05-2024,1.2811768190307007,1.1132121408706792,1.379806337548506,-0.3514044232396773,,1.2699669229765835,0.4575409874057737,-0.5764086522680278,1.4366597547504045,,SIDOARJO,-7.45597405,112.66088771295344
1591,10-05-2024,1.610521918431541,0.9221389316700014,1.5335829615159253,-0.4859350191571969,-0.6771493957095847,1.2356575045109028,0.975486400735068,-0.47113230070160983,1.9623953218850343,,SIDOARJO,-7.45597405,112.66088771295344
1592,11-05-2024,1.9398670178323811,0.9221389316700014,1.379806337548506,-0.8895268069097556,2.032547552846163,1.372895178373624,2.0113772273936568,-0.7869613554008641,1.9623953218850343,,SIDOARJO,-7.45597405,112.66088771295344
1593,12-05-2024,1.198840544180491,0.8266023270696607,1.2644738695729405,-0.8895268069097556,,1.4415140153049848,1.4934318140643623,-0.8922377069672821,1.4366597547504045,,SIDOARJO,-7.45597405,112.66088771295344
1594,13-05-2024,0.9518317196298605,1.1132121408706792,1.187585557589231,-0.754996210992236,-0.6771493957095847,1.2356575045109028,1.4934318140643623,-0.47113230070160983,1.4366597547504045,,SIDOARJO,-7.45597405,112.66088771295344
1595,14-05-2024,,0.8266023270696607,1.226029713581085,-0.4859350191571969,,1.1670386675795426,0.4575409874057737,-0.5764086522680278,1.4366597547504045,,SIDOARJO,-7.45597405,112.66088771295344
1596,15-05-2024,0.9518317196298605,0.9221389316700014,1.110697245605521,-1.024057402827275,,1.1670386675795426,0.975486400735068,-0.7869613554008641,1.4366597547504045,,SIDOARJO,-7.45597405,112.66088771295344
1597,16-05-2024,0.6636547576541257,1.3042853500713572,1.2644738695729405,-0.4859350191571969,-0.6771493957095847,1.3385857599079438,0.4575409874057737,-0.47113230070160983,0.3851886204811452,,SIDOARJO,-7.45597405,112.66088771295344
1598,17-05-2024,0.9518317196298605,0.874370629369831,1.3413621815566503,0.05218736451288143,,,0.4575409874057737,-0.47113230070160983,1.4366597547504045,,SIDOARJO,-7.45597405,112.66088771295344
1599,18-05-2024,1.1165042693302814,1.0176755362703387,1.2644738695729405,-1.1585879987447947,,1.1670386675795426,0.975486400735068,-0.7869613554008641,1.4366597547504045,,SIDOARJO,-7.45597405,112.66088771295344
1600,19-05-2024,0.9518317196298605,1.1132121408706792,1.0722530896136655,-1.1585879987447947,-0.6771493957095847,1.0298009937168215,0.4575409874057737,-0.3658559491351917,0.3851886204811452,,SIDOARJO,-7.45597405,112.66088771295344
1601,20-05-2024,0.787159169929441,0.9221389316700014,1.1491414015973753,-0.8895268069097556,2.032547552846163,1.4415140153049848,0.4575409874057737,-0.47113230070160983,0.3851886204811452,,SIDOARJO,-7.45597405,112.66088771295344
1602,21-05-2024,0.8694954447796507,0.7310657224693201,1.1491414015973753,-1.024057402827275,,1.2699669229765835,0.4575409874057737,-0.681685003834446,1.4366597547504045,,SIDOARJO,-7.45597405,112.66088771295344
1603,22-05-2024,0.8694954447796507,0.34891930406796434,1.1491414015973753,-0.6204656150747164,,1.4415140153049848,0.975486400735068,-0.5764086522680278,1.4366597547504045,,SIDOARJO,-7.45597405,112.66088771295344
